409	735	1276	SA410671	8053215	SP75793	8053215		27	21-40%
410	735	2489	SA410678	8053216	SP75801	8053216			
411	735	1277	SA528747	8068568	SP110807	8068568		14	1-20%
412	736	2490	SA410455	8031608	SP71012	8031608			
413	736	1278	SA410446	8031606	SP71004	8031606		13	1-20%
414	736	712	SA410466	8031613	SP71020	8031613			
415	737	2491	SA410702	8053219	SP75825	8053219			
416	737	1279	SA410694	8053218	SP75817	8053218		13	1-20%
417	737	2492	SA410941	8057492	SP76073	8057492			
418	738	2493	SA528665	8056329	SP110797	8056329			
419	738	2494	SA410606	8053207	SP75729	8053207			
420	738	1280	SA410598	8053206	SP75721	8053206		41	41-60%
421	739	2495	SA411034	8057587	SP76168	8057587			
422	739	1281	SA410575	8053202	SP75697	8053202		14	1-20%
423	739	2496	SA410586	8053203	SP75705	8053203			
424	739	1282	SA528684	8067521	SP110724	8067521		17	1-20%
425	657	713	SA410631	8053210	SP75753	8053210			
426	657	1283	SA410614	8053208	SP75737	8053208		14	1-20%
427	657	714	SA410623	8053209	SP75745	8053209			
428	740	1284	SA410399	8031556	SP70956	8031556		68	61-80%
429	740	715	SA410418	8031562	SP70972	8031562			
430	740	716	SA410410	8031558	SP70964	8031558			
431	741	717	SA410394	8031550	SP70948	8031550			
432	741	1285	SA410374	8031544	SP70932	8031544		70	61-80%
433	741	718	SA410383	8031546	SP70940	8031546			
434	742	719	SA410503	8053110	SP75625	8053110			
435	742	720	SA528711	8067968	SP110802	8067968			
436	742	721	SA410487	8053108	SP75609	8053108			
437	742	1286	SA528745	8068563	SP110803	8068563		71	61-80%
438	742	1287	SA410498	8053109	SP75617	8053109		14	1-20%
439	658	722	SA410286	8031135	SP70844	8031135			
440	658	723	SA410274	8031127	SP70828	8031127			
441	658	1288	SA410279	8031133	SP70836	8031133		40	21-40%
442	659	724	SA410319	8031169	SP70876	8031169			
443	659	725	SA410346	8031177	SP70900	8031177			
444	659	711	SA410330	8031170	SP70884	8031170			
445	659	1289	SA410335	8031175	SP70892	8031175		16	1-20%
446	660	1290	SA410303	8031146	SP70860	8031146		54	41-60%
447	660	1	SA410294	8031139	SP70852	8031139			
448	660	2497	SA410310	8031147	SP70868	8031147			
449	252	2498	SA410434	8053099	SP75553	8053099			
450	252	1291	SA410439	8053100	SP75561	8053100		15	1-20%
451	252	2499	SA410450	8053101	SP75569	8053101			
452	253	1292	SA528748	8068571	SP110810	8068571		17	1-20%
453	253	1293	SA410406	8052694	SP75536	8052694		15	1-20%
454	253	2500	SA410318	8052603	SP75448	8052603			
455	253	2501	SA410278	8052582	SP75410	8052582			
456	253	2502	SA528749	8068572	SP110811	8068572			
457	661	2503	SA410234	8031087	SP70788	8031087			
458	661	2504	SA410194	8031068	SP70748	8031068			
459	661	1294	SA410223	8031085	SP70780	8031085		83	>81%
460	254	726	SA528679	8067283	SP110769	8067283			
461	254	727	SA410238	8031103	SP70796	8031103			
462	254	1295	SA410254	8031110	SP70812	8031110		14	1-20%
463	254	728	SA410246	8031104	SP70804	8031104			
464	254	729	SA410263	8031111	SP70820	8031111			
465	254	1296	SA528682	8067507	SP110770	8067507		46	41-60%
466	255	730	SA410462	8053105	SP75585	8053105			
467	255	1297	SA410471	8053106	SP75593	8053106		15	1-20%
468	255	731	SA528700	8067880	SP110795	8067880			
469	255	1298	SA528743	8068559	SP110796	8068559		15	1-20%
470	255	732	SA410482	8053107	SP75601	8053107			
471	256	733	SA410207	8031076	SP70764	8031076			
472	256	1299	SA410202	8031073	SP70756	8031073		58	41-60%
473	256	734	SA410218	8031080	SP70772	8031080			
474	257	735	SA410142	8030021	SP70701	8030021			
475	257	736	SA410150	8030022	SP70709	8030022			
476	257	737	SA410167	8030026	SP70725	8030026			
477	257	1300	SA528691	8067800	SP110765	8067800		33	21-40%
478	257	738	SA410158	8030023	SP70717	8030023			
479	257	1301	SA410134	8030020	SP70693	8030020		14	1-20%
480	743	739	SA410382	8052615	SP75512	8052615			
481	743	1302	SA410250	8052577	SP75378	8052577		42	41-60%
482	743	740	SA410239	8052576	SP75370	8052576			
